ds,total_transactions,total_revenue_vnd,avg_transaction_vnd,unique_users,unique_merchants,unique_cities,error_transactions,fraud_transactions,max_transaction_vnd,min_transaction_vnd
2002-12-25,4,2990264.0,747566.0,1,3,2,0,0,3881261.0,-6714073.0
2002-12-06,1,2101900.0,2101900.0,1,1,1,0,0,2101900.0,2101900.0
2002-11-15,4,9231192.0,2307798.0,1,4,3,0,0,4908119.0,1031598.0
2004-07-27,1,1986049.0,1986049.0,1,1,1,0,0,1986049.0,1986049.0
2003-11-11,1,1158507.0,1158507.0,1,1,1,0,0,1158507.0,1158507.0
2003-03-28,3,2.3654335E7,7884778.333333333,1,3,2,0,0,2.0131685E7,1521330.0
2005-08-03,2,1109796.0,554898.0,1,2,2,0,0,824119.0,285677.0
2002-09-06,1,2906009.0,2906009.0,1,1,1,0,0,2906009.0,2906009.0
2003-08-28,1,2246186.0,2246186.0,1,1,1,0,0,2246186.0,2246186.0
2003-09-27,1,1498950.0,1498950.0,1,1,1,0,0,1498950.0,1498950.0
2003-07-31,1,1017906.0,1017906.0,1,1,1,0,0,1017906.0,1017906.0
2004-10-03,1,318063.0,318063.0,1,1,1,0,0,318063.0,318063.0
2003-07-27,1,4162198.0,4162198.0,1,1,1,0,0,4162198.0,4162198.0
2004-10-26,1,1689050.0,1689050.0,1,1,1,0,0,1689050.0,1689050.0
2003-03-07,5,4052931.0,810586.2,1,3,1,0,0,2638499.0,-1737760.0
2004-11-01,3,6292007.0,2097335.6666666665,1,3,2,0,0,4344663.0,910744.0
2004-05-21,5,6533188.0,1306637.6,1,2,1,0,0,4028180.0,-1790419.0
2003-02-02,3,3951825.0,1317275.0,1,3,3,0,0,2013432.0,492629.0
2003-12-15,2,2962880.0,1481440.0,1,2,1,0,0,2006849.0,956031.0
2002-11-23,4,1.1432618E7,2858154.5,1,4,2,0,0,6027394.0,980255.0
2002-11-17,2,6670892.0,3335446.0,1,2,1,0,0,4159039.0,2511853.0
2002-11-16,2,5089267.0,2544633.5,1,2,1,0,0,3516331.0,1572936.0
2002-09-24,1,2966567.0,2966567.0,1,1,1,0,0,2966567.0,2966567.0
2003-04-27,1,1319644.0,1319644.0,1,1,1,0,0,1319644.0,1319644.0
2003-10-11,1,4273573.0,4273573.0,1,1,1,0,0,4273573.0,4273573.0
2003-11-28,2,3125598.0,1562799.0,1,2,1,0,0,3082154.0,43444.0
2005-06-09,1,508690.0,508690.0,1,1,1,0,0,508690.0,508690.0
2002-09-11,6,8926557.0,1487759.5,1,4,2,0,0,4275679.0,-2606640.0
2004-12-30,3,4520545.0,1506848.3333333333,1,3,2,0,0,1859403.0,1162719.0
2005-01-13,2,4391267.0,2195633.5,1,2,1,0,0,3284630.0,1106637.0
2004-03-17,1,1036600.0,1036600.0,1,1,1,0,0,1036600.0,1036600.0
2004-05-28,1,302792.0,302792.0,1,1,1,0,0,302792.0,302792.0
2005-02-23,3,8516604.0,2838868.0,1,3,2,0,0,5706962.0,993683.0
