ds,merchant_city,total_transactions,fraud_transactions,fraud_rate_percent
2002-12-02,Peoria,1,0,0.0
2002-12-23,Jefferson City,3,0,0.0
2002-12-07,Chicago,2,0,0.0
2002-11-25,Mira Loma,1,0,0.0
2002-09-21,Mira Loma,4,0,0.0
2002-09-27,Monterey Park,3,0,0.0
2002-11-25,Diamond Bar,1,0,0.0
2002-12-07,Mira Loma,1,0,0.0
2002-09-05,La Verne,8,0,0.0
2002-12-07,La Verne,1,0,0.0
2002-09-29,La Verne,9,0,0.0
2003-05-15,Carrizo Springs,1,0,0.0
2002-09-08,Mira Loma,4,0,0.0
2002-09-05,Monterey Park,4,0,0.0
2002-11-25,La Verne,3,0,0.0
2002-09-08,La Verne,8,0,0.0
2002-09-04,Monterey Park,8,0,0.0
2002-09-25,La Verne,12,0,0.0
2002-09-22,La Verne,12,0,0.0
2002-11-10,La Verne,7,0,0.0
2002-09-07,Monterey Park,8,0,0.0
2002-10-01,La Verne,6,0,0.0
2002-09-25,Monterey Park,3,0,0.0
2002-09-08,Monterey Park,4,0,0.0
2002-09-15,La Verne,12,0,0.0
2002-09-12,La Verne,16,0,0.0
2002-09-09,ONLINE,4,0,0.0
2002-09-30,La Verne,6,0,0.0
2002-09-10,Mira Loma,8,0,0.0
2002-12-02,La Verne,3,0,0.0
2002-11-25,Monterey Park,1,0,0.0
2002-11-10,Monterey Park,1,0,0.0
2002-09-21,Monterey Park,8,0,0.0
2002-09-23,La Verne,11,0,0.0
2002-12-07,Peoria,2,0,0.0
2002-09-27,La Verne,6,0,0.0
2002-09-28,La Verne,12,0,0.0
2002-10-03,La Verne,3,0,0.0
2002-09-15,Diamond Bar,4,0,0.0
2002-11-10,Mira Loma,1,0,0.0
2002-09-30,ONLINE,3,0,0.0
2002-12-23,Waynesville,1,0,0.0
2002-09-05,ONLINE,4,0,0.0
2002-10-01,Monterey Park,3,0,0.0
2002-09-17,La Verne,8,0,0.0
2002-12-02,Chicago,3,0,0.0
2002-09-30,Mira Loma,3,0,0.0
2002-10-03,Monterey Park,6,0,0.0
2003-05-15,Mira Loma,1,0,0.0
2002-09-20,La Verne,8,0,0.0
2002-09-11,La Verne,12,0,0.0
2002-12-23,Monterey Park,2,0,0.0
2002-09-22,Mira Loma,4,0,0.0
2002-12-23,La Verne,1,0,0.0
2002-09-09,La Verne,16,0,0.0
2002-09-29,Mira Loma,3,0,0.0
2003-05-15,Eagle Pass,2,0,0.0
2002-09-11,Mira Loma,12,0,0.0
2002-09-02,Monterey Park,8,0,0.0
2002-12-02,Monterey Park,1,0,0.0
2002-09-10,La Verne,8,0,0.0
2003-05-15,Austin,2,0,0.0
2002-09-07,La Verne,4,0,0.0
2002-09-01,La Verne,5,0,0.0
2002-10-25,Diamond Bar,1,0,0.0
2002-10-07,La Verne,2,0,0.0
2003-05-11,Eagle Pass,1,0,0.0
2002-10-31,Monterey Park,1,0,0.0
2002-12-28,Mira Loma,1,0,0.0
2003-04-10,Monterey Park,1,0,0.0
2003-03-07,La Verne,5,0,0.0
2002-12-28,Diamond Bar,1,0,0.0
2003-05-11,Austin,1,0,0.0
2002-09-03,Monterey Park,4,0,0.0
2003-04-10,La Verne,2,0,0.0
2003-01-09,Mira Loma,4,0,0.0
2002-09-16,La Verne,8,0,0.0
2002-09-03,La Verne,4,0,0.0
2003-05-03,Monterey Park,2,0,0.0
2002-11-01,Mira Loma,2,0,0.0
2002-12-28,La Verne,2,0,0.0
2002-09-24,La Verne,3,0,0.0
2002-09-01,Monterey Park,5,0,0.0
2002-12-25,Waynesville,2,0,0.0
2002-10-16,Tilden,2,0,0.0
2002-11-01,Monterey Park,1,0,0.0
2002-09-19,La Verne,8,0,0.0
2002-10-04,La Verne,3,0,0.0
2002-09-26,La Verne,3,0,0.0
2002-10-31,La Verne,1,0,0.0
2002-09-13,La Verne,8,0,0.0
2002-10-16,La Verne,1,0,0.0
2002-10-16,Monterey Park,1,0,0.0
2002-10-02,Mira Loma,3,0,0.0
2003-05-11,La Verne,3,0,0.0
2002-12-25,Jefferson City,2,0,0.0
2003-03-02,La Verne,4,0,0.0
2002-09-14,La Verne,8,0,0.0
2002-10-25,Monterey Park,1,0,0.0
2002-11-01,La Verne,1,0,0.0
2002-10-25,La Verne,2,0,0.0
2003-04-10,ONLINE,1,0,0.0
2002-12-28,Monterey Park,1,0,0.0
2002-09-18,La Verne,8,0,0.0
2003-04-10,Mira Loma,1,0,0.0
2003-05-03,La Verne,3,0,0.0
2002-10-31,Mira Loma,3,0,0.0
2002-09-06,Mira Loma,4,0,0.0
2002-10-15,Lincoln,5,0,0.0
2002-10-05,La Verne,6,0,0.0
2002-10-13,La Verne,5,0,0.0
2002-12-30,La Verne,3,0,0.0
2003-01-24,La Verne,2,0,0.0
2003-03-23,Mira Loma,1,0,0.0
2002-10-06,ONLINE,3,0,0.0
2002-11-15,La Verne,2,0,0.0
2002-11-04,La Verne,3,0,0.0
2002-12-26,La Verne,1,0,0.0
2003-03-01,La Verne,2,0,0.0
2003-01-07,La Verne,1,0,0.0
2002-10-21,La Verne,1,0,0.0
2002-12-26,Monterey Park,2,0,0.0
2003-01-02,La Verne,3,0,0.0
2002-10-24,La Verne,4,0,0.0
2002-11-15,Monterey Park,1,0,0.0
2003-03-23,La Verne,3,0,0.0
2003-02-12,La Verne,3,0,0.0
2003-01-24,ONLINE,1,0,0.0
2002-12-24,ONLINE,1,0,0.0
2003-06-01,Mira Loma,1,0,0.0
2002-11-19,La Verne,2,0,0.0
2002-10-21,Mira Loma,3,0,0.0
2002-11-19,Monterey Park,1,0,0.0
2003-01-24,Mira Loma,1,0,0.0
2002-12-12,La Verne,2,0,0.0
2003-05-25,La Verne,4,0,0.0
2002-10-11,La Verne,3,0,0.0
2002-10-11,Monterey Park,1,0,0.0
2003-06-01,La Verne,2,0,0.0
2002-11-20,La Verne,3,0,0.0
2003-05-30,Mira Loma,2,0,0.0
2002-11-15,Ontario,1,0,0.0
2003-03-01,Monterey Park,1,0,0.0
2002-12-12,Monterey Park,1,0,0.0
2003-06-02,La Verne,2,0,0.0
2003-06-01,Monterey Park,1,0,0.0
2002-12-13,La Verne,3,0,0.0
2003-02-10,La Verne,4,0,0.0
