ds,user_id,transaction_count,total_spent_vnd,avg_transaction_vnd,unique_merchants,unique_cities,error_count
2002-11-10,0,9,1.0856787E7,1206309.6666666667,4,3,0
2002-12-02,0,8,1.8465015E7,2308126.875,6,4,0
2005-05-13,0,8,4511856.0,563982.0,3,2,1
2004-07-18,0,7,1.1736725E7,1676675.0,4,3,0
2002-12-23,0,7,1.7256483E7,2465211.8571428573,7,4,0
2002-11-25,0,6,9542145.0,1590357.5,4,4,0
2002-12-07,0,6,2691159.0,448526.5,4,4,0
2002-09-11,0,6,8926557.0,1487759.5,4,2,0
2003-05-15,0,6,-3282522.0,-547087.0,4,4,1
2002-10-31,0,5,6169312.0,1233862.4,3,3,0
2005-04-15,0,5,4857829.0,971565.8,2,2,0
2003-03-07,0,5,4052931.0,810586.2,3,1,0
2002-09-09,0,5,8084006.0,1616801.2,4,2,1
2003-05-11,0,5,1.8693295E7,3738659.0,3,3,0
2002-10-15,0,5,6514230.0,1302846.0,3,1,0
2003-04-10,0,5,8986852.0,1797370.4,4,4,1
2002-12-28,0,5,8241458.0,1648291.6,5,4,0
2002-12-24,0,5,6286478.0,1257295.6,5,2,0
2002-09-25,0,5,6777263.0,1355452.6,3,2,0
2003-05-25,0,5,6584004.0,1316800.8,5,2,0
2004-05-21,0,5,6533188.0,1306637.6,2,1,0
2002-10-13,0,5,5898642.0,1179728.4,3,1,0
2003-05-03,0,5,8384429.0,1676885.8,5,2,0
2002-09-10,0,4,8642459.0,2160614.75,4,2,0
2002-12-08,0,4,1.1734357E7,2933589.25,4,2,0
2002-09-15,0,4,9436300.0,2359075.0,4,2,0
2002-09-08,0,4,7223026.0,1805756.5,4,3,0
2002-09-30,0,4,6761466.0,1690366.5,4,3,0
2003-01-24,0,4,1.9220941E7,4805235.25,4,3,0
2004-12-10,0,4,5292269.0,1323067.25,3,2,0
2003-02-10,0,4,6902066.0,1725516.5,4,1,0
2003-11-21,0,4,5224339.0,1306084.75,4,3,1
2002-10-21,0,4,2442606.0,610651.5,2,2,0
2002-11-15,0,4,9231192.0,2307798.0,4,3,0
2002-12-25,0,4,2990264.0,747566.0,3,2,0
2003-01-09,0,4,5274891.0,1318722.75,1,1,0
2002-09-22,0,4,6813073.0,1703268.25,4,2,0
2002-10-24,0,4,4764885.0,1191221.25,2,1,0
2002-10-11,0,4,1.2040308E7,3010077.0,4,2,0
2002-09-28,0,4,1.1293596E7,2823399.0,4,1,0
2003-12-19,0,4,2536077.0,634019.25,2,1,0
2002-10-16,0,4,1.2126668E7,3031667.0,3,3,0
2003-03-23,0,4,6010280.0,1502570.0,4,2,0
2004-12-17,0,4,1457876.0,364469.0,3,2,0
2004-03-10,0,4,3354404.0,838601.0,4,2,0
2005-04-05,0,4,8332559.0,2083139.75,3,1,0
2002-11-23,0,4,1.1432618E7,2858154.5,4,2,0
2002-09-05,0,4,6550829.0,1637707.25,4,3,0
2003-06-01,0,4,5098482.0,1274620.5,4,3,0
2002-10-25,0,4,7816497.0,1954124.25,4,3,0
2002-09-29,0,4,1.1753577E7,2938394.25,2,2,2
2002-11-01,0,4,6557148.0,1639287.0,4,3,0
2003-03-02,0,4,1.1911555E7,2977888.75,2,1,1
2002-09-12,0,4,7069788.0,1767447.0,2,1,1
2002-10-01,0,3,4884686.0,1628228.6666666667,3,2,0
2005-03-27,0,3,1.2089017E7,4029672.3333333335,3,3,0
2003-01-12,0,3,4891268.0,1630422.6666666667,3,2,0
2005-07-14,0,3,5752512.0,1917504.0,3,2,0
2002-11-02,0,3,4620598.0,1540199.3333333333,3,2,0
2003-05-01,0,3,7055043.0,2351681.0,3,3,0
2002-11-20,0,3,5225128.0,1741709.3333333333,3,1,0
2002-12-26,0,3,5513438.0,1837812.6666666667,2,2,0
2002-11-09,0,3,1.1096387E7,3698795.6666666665,3,2,0
2002-11-22,0,3,8248568.0,2749522.6666666665,3,1,0
2003-04-01,0,3,6449196.0,2149732.0,3,2,0
2003-06-20,0,3,3382313.0,1127437.6666666667,3,3,0
2002-09-23,0,3,6604015.0,2201338.3333333335,3,1,0
2002-12-12,0,3,8743829.0,2914609.6666666665,3,2,0
2003-02-02,0,3,3951825.0,1317275.0,3,3,0
2002-09-27,0,3,7386270.0,2462090.0,3,2,0
2002-10-08,0,3,7422868.0,2474289.3333333335,3,2,0
2003-03-01,0,3,5709069.0,1903023.0,3,2,0
2004-01-15,0,3,1784363.0,594787.6666666666,1,1,0
2002-12-19,0,3,5293586.0,1764528.6666666667,3,3,0
2002-11-19,0,3,7458413.0,2486137.6666666665,3,2,0
2005-06-05,0,3,2392579.0,797526.3333333334,3,3,0
2005-02-23,0,3,8516604.0,2838868.0,3,2,0
2004-06-13,0,3,1909429.0,636476.3333333334,1,1,0
2004-04-23,0,3,2032126.0,677375.3333333334,1,1,0
2002-09-21,0,3,5177209.0,1725736.3333333333,3,2,0
2004-05-18,0,3,1318591.0,439530.3333333333,1,1,0
2003-04-13,0,3,3016067.0,1005355.6666666666,3,1,0
2003-01-07,0,3,6687216.0,2229072.0,2,2,0
2003-12-25,0,3,2483153.0,827717.6666666666,2,2,1
2004-08-04,0,3,7481319.0,2493773.0,3,2,0
2005-02-15,0,3,6439191.0,2146397.0,3,1,0
2002-10-03,0,3,4887845.0,1629281.6666666667,3,2,0
2003-01-29,0,3,8438931.0,2812977.0,3,3,0
2004-12-30,0,3,4520545.0,1506848.3333333333,3,2,0
2002-10-26,0,3,9855732.0,3285244.0,3,2,0
