ds,user_id,transaction_count,total_spent_vnd,avg_transaction_vnd,unique_merchants,unique_cities,error_count
2002-09-11,0,24,3.5698172E7,1487423.8333333333,4,2,0
2002-09-09,0,20,3.2328728E7,1616436.4,4,2,0
2002-09-10,0,16,3.456204E7,2160127.5,4,2,0
2002-09-15,0,16,3.7736684E7,2358542.75,4,2,0
2002-09-08,0,16,2.8885584E7,1805349.0,4,3,0
2002-09-22,0,16,2.724614E7,1702883.75,4,2,0
2002-09-05,0,16,2.61974E7,1637337.5,4,3,0
2002-09-12,0,16,2.8272772E7,1767048.25,2,1,0
2002-09-25,0,15,2.0327205E7,1355147.0,3,2,0
2002-09-30,0,12,2.0279823E7,1689985.25,4,3,0
2002-09-21,0,12,2.0704156E7,1725346.3333333333,3,2,0
2002-09-28,0,12,3.3873144E7,2822762.0,4,1,0
2002-09-07,0,12,2.0184004E7,1682000.3333333333,3,2,0
2002-09-29,0,12,3.5252775E7,2937731.25,2,2,0
2002-09-23,0,11,2.4287085E7,2207916.8181818184,3,1,0
2002-09-01,0,10,2.271345E7,2271345.0,2,2,0
2002-10-01,0,9,1.4650749E7,1627861.0,3,2,0
2002-09-27,0,9,2.2153809E7,2461534.3333333335,3,2,0
2002-10-03,0,9,1.4660229E7,1628914.3333333333,3,2,0
2002-11-10,0,9,1.0854338E7,1206037.5555555555,4,3,0
2002-09-19,0,8,2.329126E7,2911407.5,2,1,0
2002-09-03,0,8,2.010082E7,2512602.5,2,2,0
2002-09-18,0,8,2.3285996E7,2910749.5,2,1,0
2002-09-14,0,8,1.8650908E7,2331363.5,2,1,0
2002-09-17,0,8,2.9473128E7,3684141.0,1,1,0
2002-09-13,0,8,1.8026508E7,2253313.5,2,1,0
2002-09-16,0,8,1.6804032E7,2100504.0,2,1,0
2002-09-04,0,8,2.288482E7,2860602.5,1,1,0
2002-09-02,0,8,2.6248996E7,3281124.5,2,1,0
2002-09-20,0,8,2.363452E7,2954315.0,1,1,0
2002-12-02,0,8,1.846085E7,2307606.25,6,4,0
2002-12-23,0,7,1.7252589E7,2464655.5714285714,7,4,0
2002-11-25,0,6,9539991.0,1589998.5,4,4,0
2002-12-07,0,6,2690551.0,448425.1666666667,4,4,0
2002-10-05,0,6,5527989.0,921331.5,2,1,0
2003-05-15,0,6,-3281782.0,-546963.6666666666,4,4,0
2002-10-31,0,5,6167919.0,1233583.8,3,3,0
2003-03-07,0,5,4052016.0,810403.2,3,1,0
2003-05-11,0,5,1.8689077E7,3737815.4,3,3,0
2002-10-15,0,5,6512761.0,1302552.2,3,1,0
2003-04-10,0,5,8984824.0,1796964.8,4,4,0
2002-12-28,0,5,8239600.0,1647920.0,5,4,0
2002-12-24,0,5,6285060.0,1257012.0,5,2,0
2003-05-25,0,5,6582519.0,1316503.8,5,2,0
2002-10-13,0,5,5897312.0,1179462.4,3,1,0
2003-05-03,0,5,8382536.0,1676507.2,5,2,0
2002-12-08,0,4,1.1731709E7,2932927.25,4,2,0
2003-01-24,0,4,1.9216605E7,4804151.25,4,3,0
