merchant_name,merchant_city,merchant_state,transaction_count,total_amount_vnd,avg_amount_vnd,max_amount_vnd,unique_customers
5817218446178736267,La Verne,CA,6,16827722,2804620.3333333335,4546447,1
3527213246127876953,La Verne,CA,3,8815072,2938357.3333333335,3843736,1
-8826348804033622422,San Antonio,TX,3,8774556,2924852.0,3244944,1
-245178307025547046,La Verne,CA,2,6153134,3076567.0,3093405,1
4060646732831064559,La Verne,CA,5,5805066,1161013.2,3153652,1
-34551508091458520,La Verne,CA,2,4786911,2393455.5,3699300,1
-727612092139916043,Monterey Park,CA,3,4616692,1538897.3333333333,3236262,1
2027553650310142703,Mira Loma,CA,1,4047893,4047893.0,4047893,1
1913477460590765860,La Verne,CA,1,3911876,3911876.0,3911876,1
4319011153593601999,San Antonio,TX,1,3829792,3829792.0,3829792,1
-1096718711148016337,San Antonio,TX,2,3280988,1640494.0,1951334,1
-1605794445852049456,La Verne,CA,2,3250996,1625498.0,1709818,1
-245178307025547046,Aransas Pass,TX,1,3240472,3240472.0,3240472,1
3952145593743244256,La Verne,CA,2,3084197,1542098.5,1900821,1
2593569215859721698,New York,NY,1,2225999,2225999.0,2225999,1
-9092677072201095172,ONLINE,,1,2180485,2180485.0,2180485,1
-5475680618560174533,Monterey Park,CA,2,2092087,1046043.5,1053147,1
4722913068560264812,Merced,CA,2,2028945,1014472.5,1069195,1
-7146670748125200898,Monterey Park,CA,1,1931602,1931602.0,1931602,1
4055257078481058705,La Verne,CA,2,1837943,918971.5,938440,1
-4500542936415012428,La Verne,CA,1,1733759,1733759.0,1733759,1
2438846973070764815,New York,NY,1,1681141,1681141.0,1681141,1
-1288082279022882052,La Verne,CA,3,1657726,552575.3333333334,2446731,1
3189517333335617109,La Verne,CA,1,1528549,1528549.0,1528549,1
-2472481739355111587,San Antonio,TX,1,1203897,1203897.0,1203897,1
5660551756125835187,San Antonio,TX,1,1079982,1079982.0,1079982,1
-3345936507911876459,La Verne,CA,1,929758,929758.0,929758,1
-8129520121141002186,La Verne,CA,1,833730,833730.0,833730,1
7945328079774550558,La Verne,CA,1,661144,661144.0,661144,1
8080934608468946743,Monterey Park,CA,1,419628,419628.0,419628,1
5205099864768539121,New York,NY,1,278349,278349.0,278349,1
6455213054093379528,ONLINE,,1,179164,179164.0,179164,1
-2042049018365856408,ONLINE,,1,153381,153381.0,153381,1
-521141999023077663,ONLINE,,1,127598,127598.0,127598,1
6666504894937430109,La Verne,CA,3,114182,38060.666666666664,46041,1
